zone,prop_type,listing_type,furnishing,bhk,area,bathrooms,age,amenities_count,floor,total_floors,has_metro,price
Wakad,commercial,rent,semi-furnished,0,1147,1,18,4,0,1,1,77200
Hinjewadi,apartment,rent,unfurnished,3,1313,3,30,2,7,7,1,53600
Baner,apartment,rent,semi-furnished,5,2134,5,6,4,4,6,1,272100
Baner,apartment,rent,semi-furnished,3,1240,3,17,2,1,3,1,87700
Baner,villa,sale,fully-furnished,2,3288,2,30,4,1,4,1,26502500
Magarpatta,villa,rent,semi-furnished,2,2209,2,24,3,2,12,0,498900
Kondhwa,villa,rent,semi-furnished,4,2682,4,0,5,7,9,0,332200
Aundh,villa,sale,semi-furnished,2,2146,2,13,6,14,26,1,22745100
Viman Nagar,apartment,sale,fully-furnished,2,1322,2,4,8,2,7,1,15296900
Baner,commercial,rent,semi-furnished,0,5312,1,9,6,0,1,1,790600
Pisoli,house,sale,fully-furnished,2,873,2,24,2,1,3,0,3630200
Kharadi,apartment,sale,unfurnished,2,970,2,31,5,1,2,1,6626500
Chinchwad,commercial,sale,semi-furnished,0,1980,1,16,2,0,1,0,12731600
Koregaon Park,apartment,rent,semi-furnished,2,1353,2,22,3,10,15,0,83700
Baner,house,sale,fully-furnished,2,1092,2,8,6,4,5,1,12843700
Undri,apartment,sale,semi-furnished,3,1180,3,8,2,1,5,0,8189100
Undri,studio,rent,unfurnished,1,687,1,6,3,8,15,0,16500
Kharadi,apartment,rent,fully-furnished,3,1283,3,8,5,2,16,1,74000
Undri,apartment,rent,fully-furnished,4,1737,4,29,5,5,10,0,93200
Pimple Saudagar,commercial,sale,unfurnished,0,3089,1,15,4,0,1,0,29229300
Undri,studio,rent,unfurnished,1,363,1,13,1,2,11,0,10300
Pisoli,studio,rent,semi-furnished,1,473,1,4,8,3,9,0,10000
Koregaon Park,studio,sale,fully-furnished,1,487,1,20,8,3,11,0,6624300
Hinjewadi,apartment,rent,semi-furnished,2,1127,2,25,3,6,13,1,32200
Viman Nagar,apartment,rent,fully-furnished,3,1137,3,28,9,1,6,1,81600
Undri,plot,sale,semi-furnished,0,4112,1,0,2,0,1,0,15672100
Koregaon Park,plot,sale,semi-furnished,0,2529,1,30,6,0,1,0,16688100
Magarpatta,apartment,rent,unfurnished,1,605,1,27,7,11,14,0,14600
Baner,studio,sale,unfurnished,1,738,1,22,8,2,9,1,5386100
Pimple Saudagar,apartment,sale,fully-furnished,3,1171,3,25,6,5,9,0,9961400
Bavdhan,studio,sale,fully-furnished,1,537,1,21,6,0,4,0,3944000
Hinjewadi,apartment,sale,semi-furnished,5,2055,5,3,4,6,8,1,23152200
Koregaon Park,commercial,rent,unfurnished,0,338,1,18,9,0,1,0,92100
Aundh,apartment,sale,semi-furnished,1,806,1,23,5,0,13,1,7083900
Pimple Saudagar,villa,rent,semi-furnished,5,2459,5,7,3,1,17,0,280300
Balewadi,apartment,rent,semi-furnished,4,1603,4,28,3,0,5,0,119000
Magarpatta,villa,rent,unfurnished,2,3530,2,31,5,6,8,0,730500
Wanowrie,apartment,rent,semi-furnished,3,1432,3,16,2,3,7,0,69600
Pimpri,commercial,rent,semi-furnished,0,2828,1,2,5,0,1,0,345200
Baner,commercial,rent,unfurnished,0,5602,1,25,5,0,1,1,361400
Pimple Saudagar,plot,sale,unfurnished,0,1229,1,9,3,0,1,0,5940800
Undri,apartment,sale,semi-furnished,4,1627,4,5,0,14,15,0,11080100
Wagholi,villa,sale,semi-furnished,2,3834,2,9,1,3,8,0,24968100
Viman Nagar,apartment,rent,fully-furnished,3,1290,3,16,7,4,10,1,97400
Pimpri,apartment,rent,unfurnished,4,1660,4,4,3,8,14,0,72100
Kharadi,studio,rent,semi-furnished,1,620,1,15,8,9,11,1,27000
Pimpri,plot,sale,semi-furnished,0,1820,1,27,0,0,1,0,7596200
Baner,apartment,sale,unfurnished,2,1310,2,15,2,1,13,1,11395100
Kalyani Nagar,plot,rent,unfurnished,0,2409,1,21,7,0,1,0,83000
Wakad,commercial,rent,fully-furnished,0,2944,1,2,5,0,1,1,245900
Magarpatta,house,rent,semi-furnished,3,1194,3,20,7,2,4,0,70800
Balewadi,apartment,rent,fully-furnished,1,280,1,2,4,5,15,0,15100
Chinchwad,apartment,rent,semi-furnished,2,1251,2,13,2,5,5,0,35300
Kothrud,commercial,rent,semi-furnished,0,3440,1,18,4,0,1,1,433000
Kharadi,house,sale,semi-furnished,4,1617,4,27,6,1,2,1,14895400
Aundh,apartment,sale,unfurnished,2,801,2,23,5,10,14,1,5852900
Aundh,apartment,sale,unfurnished,2,853,2,20,3,11,18,1,8052300
Baner,apartment,sale,semi-furnished,1,782,1,14,7,3,3,1,7775700
Kalyani Nagar,apartment,rent,fully-furnished,2,901,2,21,4,13,13,0,50500
Pimple Saudagar,house,sale,unfurnished,3,1315,3,14,4,0,4,0,7091400
Shivajinagar,apartment,rent,fully-furnished,1,409,1,12,7,2,18,1,29300
Aundh,apartment,rent,fully-furnished,3,1576,3,9,8,1,5,1,98500
Kothrud,apartment,sale,semi-furnished,4,1582,4,29,0,6,7,1,12280500
Koregaon Park,house,sale,unfurnished,3,1453,3,14,7,7,7,0,21163900
Bavdhan,house,rent,semi-furnished,2,922,2,25,3,0,6,0,21400
Shivajinagar,villa,rent,fully-furnished,1,3334,1,12,7,1,6,1,929500
Pimple Saudagar,villa,sale,unfurnished,3,4472,3,2,1,11,12,0,39417200
Chinchwad,apartment,rent,fully-furnished,2,1015,2,21,2,11,12,0,34800
Viman Nagar,apartment,rent,semi-furnished,2,1156,2,24,6,7,7,1,77900
Wakad,apartment,sale,fully-furnished,2,1058,2,22,4,2,6,1,8450700
Magarpatta,apartment,sale,fully-furnished,3,1617,3,26,4,0,7,0,13174400
Bavdhan,house,sale,unfurnished,3,1605,3,21,2,4,16,0,8817500
Kharadi,apartment,rent,unfurnished,3,1617,3,26,6,1,4,1,74000
Hinjewadi,apartment,sale,unfurnished,3,1261,3,7,2,4,18,1,10218900
Bavdhan,apartment,rent,semi-furnished,2,1033,2,21,3,3,6,0,31700
Viman Nagar,commercial,rent,semi-furnished,0,3649,1,20,9,0,1,1,317500
Baner,house,rent,unfurnished,2,719,2,26,0,2,2,1,28800
Viman Nagar,apartment,sale,semi-furnished,4,1814,4,21,3,0,6,1,17048000
Camp,commercial,sale,semi-furnished,0,740,1,28,3,0,1,0,4549600
Hinjewadi,apartment,sale,fully-furnished,2,1406,2,28,1,17,22,1,8486600
Hinjewadi,studio,sale,semi-furnished,1,443,1,18,0,6,8,1,2856000
Pimpri,apartment,sale,semi-furnished,2,1168,2,0,5,2,2,0,9125100
Aundh,apartment,sale,fully-furnished,2,780,2,1,6,15,16,1,11233800
